START | DVEntry CREntry FVEntry SBEntry
DVEntry | DVDoubleJump DVGnastyCave
DVGnastyCave | NONE
DVDoubleJump | DVGlide DVCharge CSEntry
DVGlide | DFEntry
DVCharge | NONE
CSEntry | CSPoleSpin
CSPoleSpin | NONE
DFEntry | DFLGDoor
DFLGDoor | NONE
CREntry | CRDoubleJump CRLGDoor CRPoleSpin CRWateryTomb
CRDoubleJump | CRGlide
CRLGDoor | NONE
CRGlide | CDEntry
CRPoleSpin | SREntry
CRWateryTomb | NONE
CDEntry | CDCharge
CDCharge | CDWingShield
CDWingShield | CDBallGadget
CDBallGadget | NONE
SREntry | SRSwim
SRSwim | SRElectric SRWallKick
SRWallKick | NONE
SRElectric | SRInvincibility
SRInvincibility | SRGlide
SRGlide | NONE
FVEntry | FVElectric FVDoubleJump FVRedChamber
FVElectric | NONE
FVDoubleJump | FVWallKick GGEntry
FVWallKick | NONE
FVRedChamber | NONE
GGEntry | ICEntry
ICEntry | ICWater
ICWater | ICWallKick
ICWallKick | ICBehindQueen ICReturnToFV
ICBehindQueen | NONE
ICReturnToFV | FVEntry2
FVEntry2 | FVEastPoles FVLGDoorEntry
FVEastPoles | NONE
FVLGDoorEntry | FVLGDoorGlide
FVLGDoorGlide | NONE
SBEntry | SBDoubleJump
SBDoubleJump | SBUpperCave MMEntry
SBUpperCave | NONE
MMEntry | MMWaterIce
MMWaterIce | MMPoleSpin
MMPoleSpin | MFtEntry
MFtEntry | MFBallGadget
MFBallGadget | MFbEntry
MFbEntry | DMEntry
DMEntry | DMLGDoor DMCharge
DMLGDoor | NONE
DMCharge | DMElectric
DMElectric | DMIce
DMIce | RLEntry
RLEntry | RLSouthEast RLNorthWest RLNorthEast RLSouthWest
RLSouthEast | NONE
RLNorthWest | NONE
RLNorthEast | NONE
RLSouthWest | RLMechaRed
RLMechaRed | NONE
